CP030479.1	GCA_008934295.1
JAAJFH010000002.1	GCA_011028965.1
DACKLC010000007.1	GCA_015541625.1
DACKLM010000001.1	GCA_015541825.1
DACLFS010000006.1	GCA_015573175.1
DACLSJ010000002.1	GCA_015579295.1
DACLUU010000008.1	GCA_015581095.1
DACMNR010000002.1	GCA_015596065.1
DACMOH010000001.1	GCA_015596605.1
DACMOO010000001.1	GCA_015599625.1
DACMOU010000001.1	GCA_015599745.1
DACNDK020000039.1	GCA_015611945.2
DADJGJ010000002.1	GCA_017083825.1
DADJHL010000028.1	GCA_017084365.1
DADJJI010000001.1	GCA_017085585.1
DADJKI010000023.1	GCA_017086125.1
DADJKP010000001.1	GCA_017086665.1
DADJLQ010000030.1	GCA_017087385.1
DADJMF010000001.1	GCA_017087505.1
DADJMD010000001.1	GCA_017087665.1
DADJNK010000056.1	GCA_017088195.1
DADJPI010000002.1	GCA_017091245.1
DADJQZ010000003.1	GCA_017092245.1
DADJSM010000044.1	GCA_017092665.1
DADJTF010000002.1	GCA_017092805.1
DADJTI010000002.1	GCA_017093485.1
DADJUS010000002.1	GCA_017094165.1
DADJYF010000011.1	GCA_017096145.1
DADJZM010000001.1	GCA_017096465.1
DADJZC010000010.1	GCA_017096545.1
DADJZW010000011.1	GCA_017097105.1
DADKAI010000002.1	GCA_017097365.1
DADKAF010000036.1	GCA_017097425.1
DADKAO010000001.1	GCA_017097705.1
DADKAL010000002.1	GCA_017097785.1
DADKAU010000001.1	GCA_017098005.1
DADKCB010000001.1	GCA_017098625.1
DADKDI010000001.1	GCA_017099315.1
DADKEN010000046.1	GCA_017099755.1
DADKEV010000001.1	GCA_017100235.1
DADOKP010000070.1	GCA_017661515.1
DADOLC010000001.1	GCA_017662015.1
DADOLA010000001.1	GCA_017662075.1
DADOLM010000004.1	GCA_017662935.1
DADOLO010000049.1	GCA_017662955.1
DADOPC010000011.1	GCA_017665095.1
DADOUF010000012.1	GCA_017667795.1
DADOUA010000015.1	GCA_017667875.1
DADOWV010000001.1	GCA_017669155.1
DADOYG010000001.1	GCA_017670545.1
DADYLI010000004.1	GCA_018145415.1
DADYMT010000004.1	GCA_018147195.1
DADYRV010000005.1	GCA_018151225.1
DADZPL010000001.1	GCA_018165395.1
DAEGIZ010000004.1	GCA_018586645.1
DAEGJM010000001.1	GCA_018586685.1
DAEGSN010000038.1	GCA_018602835.1
JAFJRT010000002.1	GCA_020587775.1
JAFJRF010000001.1	GCA_020588315.1
JAFJQO010000001.1	GCA_020588815.1
JAHPHE010000001.1	GCA_020667055.1
JAJAHM010000001.1	GCA_022400565.1
JAJAHN010000001.1	GCA_022400595.1
JAJAHL010000001.1	GCA_022400635.1
JAJAHH010000001.1	GCA_022400705.1
JAJAHI010000003.1	GCA_022400805.1
JAJAHD010000001.1	GCA_022400865.1
JAJAHC010000001.1	GCA_022400905.1
JAJAHB010000001.1	GCA_022400925.1
JAJAHA010000001.1	GCA_022400945.1
JAJAGZ010000010.1	GCA_022401025.1
JAJAGY010000001.1	GCA_022401045.1
JAJAGW010000001.1	GCA_022401065.1
JAJAGV010000001.1	GCA_022401125.1
JAJAGX010000001.1	GCA_022401145.1
JAJAGT010000001.1	GCA_022401165.1
JAJAGS010000001.1	GCA_022401225.1
JAJAGU010000001.1	GCA_022401265.1
JAJAGR010000001.1	GCA_022401305.1
DAHHPP010000003.1	GCA_023581545.1
DAHHQY010000001.1	GCA_023582245.1
DAHHYB010000001.1	GCA_023587225.1
DAHIIE010000158.1	GCA_023594025.1
DAHINM010000024.1	GCA_023596745.1
DAHISJ010000134.1	GCA_023600985.1
DAHIUW010000006.1	GCA_023602345.1
DAHIXJ010000001.1	GCA_023603685.1
DAHJCF010000027.1	GCA_023614425.1
DAHJGZ010000155.1	GCA_023672125.1
DAHKDC010000163.1	GCA_023695025.1
JAMAXP010000002.1	GCA_023712745.1
DAHQMJ010000003.1	GCA_024018575.1
DAHQMZ010000005.1	GCA_024018895.1
DAHQND010000001.1	GCA_024018975.1
DAHQNX010000006.1	GCA_024019355.1
JANEGL010000001.1	GCA_024357985.1
JANEFX010000001.1	GCA_024358285.1
JANEFR010000004.1	GCA_024358365.1
JANEFL010000001.1	GCA_024358475.1
JANEEF010000003.1	GCA_024359175.1
JANEDW010000001.1	GCA_024359725.1
JANECH010000001.1	GCA_024360365.1
JANECE010000001.1	GCA_024360465.1
JANEAM010000002.1	GCA_024360805.1
JANEDI010000001.1	GCA_024361065.1
JANEAU010000013.1	GCA_024361645.1
JANEAO010000001.1	GCA_024361685.1
CP102976.1	GCA_024741755.1
JAKNUY010000002.1	GCA_024894775.1
JAKNXS010000001.1	GCA_024895975.1
JAKJYB010000001.1	GCA_024896075.1
JAKNVS010000001.1	GCA_024896775.1
DAJOSV010000002.1	GCA_025706445.1
DAKANA010000006.1	GCA_026325735.1
DAKBBQ010000003.1	GCA_026333635.1
DAKBPE010000035.1	GCA_026345175.1
DAKENH010000119.1	GCA_026428355.1
DAKFFY010000005.1	GCA_026438875.1
DAKGNT010000003.1	GCA_026456685.1
DAKJSP010000006.1	GCA_026508075.1
DAKJWK010000006.1	GCA_026510265.1
DAKJYW010000006.1	GCA_026511745.1
DAKLYJ010000028.1	GCA_026553075.1
DAKNRN010000006.1	GCA_026592555.1
DAKOTY010000007.1	GCA_026609035.1
DAKTPU010000005.1	GCA_026756895.1
DAKVDM010000001.1	GCA_026811345.1
